record,model,bleu,structural,pixel
0,presto,0.728,0.888,0.752
1,presto,0.848,0.995,0.778
2,presto,0.825,0.994,0.455
3,presto,0.813,0.996,0.759
4,presto,0.846,0.993,0.89
5,presto,0.991,0.996,0.949
6,presto,0.929,0.922,0.654
7,presto,0.901,0.991,0.335
8,presto,0.907,0.984,0.992
9,presto,0.926,0.957,0.588
10,presto,0.99,0.969,0.655
11,presto,0.817,0.992,0.666
12,presto,0.989,0.989,0.0102
13,presto,0.921,0.95,0.981
14,presto,0.885,0.994,0.983
15,presto,0.862,0.957,0.663
16,presto,0.908,0.964,0.988
17,presto,0.894,0.87,0.957
18,presto,0.948,0.976,0.499
19,presto,0.834,0.909,0.972
20,presto,0.897,0.994,0.306
21,presto,0.882,1.0,0.858
22,presto,0.861,0.945,0.981
23,presto,0.997,0.921,0.894
24,presto,0.999,0.982,0.929
25,presto,0.903,0.973,0.344
26,presto,0.949,0.992,0.333
27,presto,0.877,0.901,0.944
28,presto,0.884,0.928,0.962
29,presto,0.999,0.994,0.988
30,presto,0.883,0.985,0.79
31,presto,0.887,0.985,0.989
0,claude,0.496,0.762,0.34
1,claude,0.519,0.747,0.551
2,claude,0.438,0.908,0.336
3,claude,0.462,0.965,0.225
4,claude,0.559,0.727,0.581
5,claude,2.79e-30,1.0,0.982
6,claude,0.337,0.918,0.0332
7,claude,0.168,0.191,0.104
8,claude,0.423,0.965,0.0278
9,claude,0.512,0.854,0.466
10,claude,0.000195,0.951,0.0793
11,claude,0.51,0.988,0.953
12,claude,9.84e-07,0.978,0.971
13,claude,0.582,0.926,0.713
14,claude,0.474,0.996,0.978
15,claude,0.388,0.945,0.649
16,claude,0.336,0.933,0.346
17,claude,0.339,0.804,0.0919
18,claude,0.267,0.951,0.641
19,claude,0.338,0.852,0.945
20,claude,0.575,0.858,0.299
21,claude,0.58,0.947,0.508
22,claude,0.359,0.0604,0.0582
23,claude,9.91e-18,0.861,0.436
24,claude,0.0,0.0,0.0
25,claude,0.363,0.921,0.64
26,claude,0.287,0.969,0.662
27,claude,0.372,0.883,0.894
28,claude,0.308,0.646,0.356
29,claude,0.0,0.0,0.0
30,claude,0.611,0.903,0.804
31,claude,0.376,0.724,0.875
0,gpt4,0.441,0.913,0.575
1,gpt4,0.478,0.719,0.539
2,gpt4,0.605,0.868,0.636
3,gpt4,0.424,0.922,0.724
4,gpt4,0.474,0.848,0.69
5,gpt4,6.96e-43,0.999,0.97
6,gpt4,0.293,0.922,0.0245
7,gpt4,0.151,0.935,0.66
8,gpt4,0.377,0.968,0.969
9,gpt4,0.497,0.834,0.64
10,gpt4,0.0,0.0,0.0
11,gpt4,0.502,0.944,0.821
12,gpt4,1.55e-07,0.975,0.924
13,gpt4,0.52,0.926,0.5
14,gpt4,0.414,0.996,0.974
15,gpt4,0.36,0.91,0.942
16,gpt4,0.358,0.929,0.653
17,gpt4,0.237,0.769,0.101
18,gpt4,0.257,0.957,0.729
19,gpt4,0.386,0.836,0.941
20,gpt4,0.394,0.732,0.538
21,gpt4,0.441,0.966,0.188
22,gpt4,0.352,0.0596,0.0606
23,gpt4,2.64e-49,0.917,0.392
24,gpt4,1.37e-112,0.78,0.884
25,gpt4,0.409,0.603,0.69
26,gpt4,0.44,0.977,0.0233
27,gpt4,0.391,0.894,0.918
28,gpt4,0.33,0.368,0.116
29,gpt4,0.0,0.0,0.0
30,gpt4,0.53,0.849,0.475
31,gpt4,0.461,0.966,0.708
